計劃編號,計劃名稱,True Label,Predict Label,Predict Probability,First 5 Label,First 5 Probability
MP10602-0209,健康醫藥生技前瞻發展計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
CP1023-0041,海洋科技發展計畫(1/4),海洋科技,海洋科技,0.942,海洋科技;太空/衛星;晶片半導體;農業;災害防救,0.942;0.006;0.006;0.006;0.006
CP10401-0055,地震工程之運作及發展計畫(1/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;政策規劃與推動;物聯網,0.991;0.002;0.001;0.001;0.001
MP10212-0121,網際網路通訊協定升級推動計畫(3/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.987,網路通訊/4G/5G/5G+/6G;長照與社會福利;災害防救;國家標準檢驗;產業人才培育,0.987;0.002;0.002;0.001;0.001
MP10602-0168,教育雲：校園數位學習普及服務計畫(2/4),數位學習,數位學習,0.955,數位學習;數位內容;物聯網;自動駕駛;產業人才培育,0.955;0.004;0.004;0.003;0.003
MP10602-0165,建構智慧型博物館：漫遊在史前和現代的交界雲端整合計畫(3/4),文化,文化,0.974,文化;生技醫藥與精準醫療;數位內容;政策規劃與推動;科研計畫補助,0.974;0.003;0.003;0.002;0.002
MP10603-0012,科技專案環境建構綱要計畫(1/4),工研院與A+,工研院與A+,0.935,工研院與A+;產業人才培育;生技醫藥與精準醫療;智慧製造;太空/衛星,0.935;0.009;0.008;0.007;0.007
MP10602-0162,5G通訊系統與應用旗艦計畫(2/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.988,網路通訊/4G/5G/5G+/6G;災害防救;長照與社會福利;產業人才培育;國家標準檢驗,0.988;0.002;0.002;0.002;0.001
MP10501-0251,智慧製造產業創新提升人才培育計畫(1/4),產業人才培育;智慧製造,產業人才培育;智慧製造,0.953;0.947,產業人才培育;智慧製造;AI、雲端、巨量資料;物聯網;科研計畫補助,0.953;0.947;0.009;0.009;0.008
MP10907-0003,Å世代半導體-前瞻半導體及量子技術研發計畫(1/5),晶片半導體,晶片半導體,0.974,晶片半導體;能源;AI、雲端、巨量資料;智慧製造;產業人才培育,0.974;0.003;0.003;0.002;0.002
MP10903-0008,工廠轉型暨群聚產業技術躍升推動計畫(1/4),傳統產業高值化,傳統產業高值化,0.97,傳統產業高值化;運輸載具;化工材料與循環經濟;電商與物流;能源,0.97;0.008;0.004;0.003;0.003
MP10603-0022,臺灣科技融藝創新計畫(4/4),文化,文化,0.974,文化;生技醫藥與精準醫療;數位內容;科研計畫補助;政策規劃與推動,0.974;0.003;0.002;0.002;0.002
MP10403-0009,推動兩岸標準計量檢驗認證合作(3/4),國家標準檢驗,國家標準檢驗,0.961,國家標準檢驗;能源;智慧醫療;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳,0.961;0.006;0.005;0.005;0.003
MP10602-0046,資訊軟硬體智慧化轉型生態系推動計畫(1/4),AI、雲端、巨量資料,AI、雲端、巨量資料,0.977,AI、雲端、巨量資料;產業人才培育;晶片半導體;虛擬實境;數位轉型與智慧政府,0.977;0.003;0.003;0.003;0.002
MP10401-0249,臺灣沿海藍色經濟成長推動計畫(2/4),農業,農業,0.976,農業;電商與物流;食品安全與食品科技;能源;農業生技,0.976;0.004;0.003;0.003;0.003
MP1022-0007,人機協同智慧機器人系統技術開發綱要計畫(3/4),AI、雲端、巨量資料,AI、雲端、巨量資料,0.974,AI、雲端、巨量資料;產業人才培育;虛擬實境;晶片半導體;數位轉型與智慧政府,0.974;0.003;0.003;0.003;0.002
MP10402-0010,低溫物流國際化發展推動計畫(4/4),電商與物流,電商與物流,0.975,電商與物流;智慧農業;數位轉型與智慧政府;農業;網路通訊/4G/5G/5G+/6G,0.975;0.004;0.003;0.003;0.002
MP10301-0046,結核病防治整合型計畫(4/4),防疫,防疫,0.975,防疫;產業人才培育;資安;災害防救;政策規劃與推動,0.975;0.002;0.002;0.002;0.002
MP10401-0236,農業政策與農民輔導科技發展綱要計畫(4/4),政策規劃與推動,政策規劃與推動,0.985,政策規劃與推動;災害防救;中小（堅）企業輔導;創新創業;數位轉型與智慧政府,0.985;0.002;0.002;0.001;0.001
MP10501-0342,給水與用水管理技術發展計畫(1/4),水資源管理,水資源管理,0.966,水資源管理;化工材料與循環經濟;自動駕駛;災害防救;AI、雲端、巨量資料,0.966;0.004;0.004;0.004;0.004
MP10707-0038,洋流能關鍵技術開發與推動(1/1),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.991;0.002;0.001;0.001;0.001
CP10601-0033,以高齡社會需求為導向之生醫科技研究計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10704-0276,推動雲端服務輔導規劃計畫(2/2),AI、雲端、巨量資料,AI、雲端、巨量資料,0.975,AI、雲端、巨量資料;產業人才培育;數位轉型與智慧政府;晶片半導體;虛擬實境,0.975;0.003;0.003;0.002;0.002
CP10401-0029,培育優秀學者養成計畫(2/4),人才補助與延攬,人才補助與延攬,0.968,人才補助與延攬;數位轉型與智慧政府;科研計畫補助;食品安全與食品科技;政策規劃與推動,0.968;0.004;0.004;0.004;0.004
CP10501-0050,科學工業園區研發精進產學合作計畫(4/4),創新創業,創新創業,0.987,創新創業;農業;政策規劃與推動;物聯網;生技醫藥與精準醫療,0.987;0.002;0.001;0.001;0.001
MP10704-0131,數位內容跨域創新應用推動計畫(4/4),數位內容,數位內容,0.973,數位內容;網路通訊/4G/5G/5G+/6G;傳統產業高值化;水資源管理;設計,0.973;0.003;0.003;0.002;0.002
MP10602-0102,校園食材登錄平臺及管理系統推廣實施計畫(3/4)-結合食品雲,食品安全與食品科技,食品安全與食品科技,0.967,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.967;0.004;0.004;0.003;0.003
MP1022-0247,策略性產業人力資源發展與推動計畫(1/4),產業人才培育,產業人才培育,0.98,產業人才培育;數位轉型與智慧政府;智慧製造;能源;資安,0.98;0.003;0.003;0.002;0.002
MP10704-0228,材料化工之民生應用產業發展綱要計畫(1/4),化工材料與循環經濟,化工材料與循環經濟,0.973,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;傳統產業高值化,0.973;0.003;0.002;0.002;0.002
MP10212-0001,現代化測繪科技發展計畫(1/4),自動駕駛,自動駕駛,0.958,自動駕駛;運輸載具;智慧交通;數位內容;物聯網,0.958;0.005;0.004;0.004;0.004
MP10501-0232,農林氣象災害風險指標建置及災害調適策略之研究(2/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;政策規劃與推動;物聯網,0.991;0.002;0.001;0.001;0.001
MP10401-0024,極端海象預報技術研究(1/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;政策規劃與推動;氣候變遷與減碳;物聯網,0.991;0.002;0.001;0.001;0.001
MP10902-0011,行動支付多元應用加值服務計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;物聯網;中小（堅）企業輔導,0.987;0.002;0.001;0.001;0.001
MP10704-0238,原子能科技學術合作研究計畫(1/1),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.992;0.002;0.001;0.001;0.001
MP10212-0337,國家生技研究園區開發計畫(2/6),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10403-0008,水旱災整備及應變科技之研究(2/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP1022-0280,電子商務雲端創新發展與基礎環境建置計畫(2/4),電商與物流,電商與物流,0.973,電商與物流;智慧農業;數位轉型與智慧政府;農業;網路通訊/4G/5G/5G+/6G,0.973;0.003;0.003;0.003;0.002
MP10902-0019,綠能科技示範場域營運計畫(沙崙D區) (1/4),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.992;0.002;0.001;0.001;0.001
MP10401-0222,牧業科技發展綱要計畫(4/4)-強化畜禽產業創新技術加值及應用,農業,農業,0.975,農業;電商與物流;能源;食品安全與食品科技;化工材料與循環經濟,0.975;0.003;0.003;0.003;0.003
MP10401-0250,安全機能性產品產業價值鏈之優化整合與加值推動(1/4),農業生技,農業生技,0.932,農業生技;農業;環境監測與污染防治;創新創業;文化,0.932;0.01;0.008;0.007;0.006
MP10906-0022,農業物聯網發展計畫(1/5),智慧農業,智慧農業,0.947,智慧農業;電商與物流;農業;網路通訊/4G/5G/5G+/6G;防疫,0.947;0.012;0.007;0.007;0.006
MP10602-0067,建構智慧健康生活：巨量資料及ICT之加值應用(2/4),智慧醫療,智慧醫療,0.937,智慧醫療;國家標準檢驗;長照與社會福利;產業人才培育;物聯網,0.937;0.009;0.007;0.005;0.005
MP10704-0094,鑑識科技進階發展計畫(1/4),警政與法務,警政與法務,0.972,警政與法務;資安;災害防救;專利與智財;物聯網,0.972;0.004;0.003;0.003;0.003
MP10902-0110,次世代物聯網智慧系統關鍵技術與產業躍升計畫(3/4),物聯網,物聯網,0.953,物聯網;虛擬實境;災害防救;AI、雲端、巨量資料;產業人才培育,0.953;0.01;0.006;0.006;0.005
MP10602-0088,農業政策與農民輔導科技發展綱要計畫(2/4),政策規劃與推動,政策規劃與推動,0.985,政策規劃與推動;災害防救;中小（堅）企業輔導;創新創業;數位轉型與智慧政府,0.985;0.002;0.002;0.001;0.001
CP10703-0033,科技政策研究與資訊服務計畫(1/1),政策規劃與推動,政策規劃與推動,0.984,政策規劃與推動;災害防救;中小（堅）企業輔導;數位轉型與智慧政府;創新創業,0.984;0.002;0.002;0.001;0.001
MP10212-0066,能源國家型科技計畫-大型儲電元件與系統技術開發計畫(2/3),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.991;0.002;0.001;0.001;0.001
MP10906-0027,海纜及5G雲端聯網中心建置計畫(1/5),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.988,網路通訊/4G/5G/5G+/6G;長照與社會福利;災害防救;產業人才培育;國家標準檢驗,0.988;0.002;0.002;0.002;0.002
MP10501-0278,生技蛋白藥開發四年計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
MP10501-0134,身心障礙與高齡者輔具國家標準暨自願性標章推動計畫(4/4),國家標準檢驗;智慧醫療,國家標準檢驗;智慧醫療,0.957;0.919,國家標準檢驗;智慧醫療;能源;長照與社會福利;運輸載具,0.957;0.919;0.014;0.01;0.008
MP10602-0157,海洋及交通運輸防災技術研究(1/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP10704-0075,食品安全巨量資料分析及資訊科技化建置計畫(4/4),食品安全與食品科技,食品安全與食品科技,0.968,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.968;0.004;0.004;0.003;0.003
CP10801-0011,基礎科學研究計畫-國輻中心業務推動與設施管理計畫(1/1),科研設施,科研設施,0.976,科研設施;產業人才培育;生技醫藥與精準醫療;資安;中小（堅）企業輔導,0.976;0.003;0.003;0.003;0.002
MP10704-0044,港區物流加值服務推動計畫(3/4),電商與物流,電商與物流,0.976,電商與物流;智慧農業;數位轉型與智慧政府;農業;網路通訊/4G/5G/5G+/6G,0.976;0.004;0.003;0.003;0.002
CP1023-0069,南科綠能低碳產業聚落推動計畫(2/4),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.991;0.002;0.001;0.001;0.001
MP10704-0192,強化早期臨床試驗能量(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
CP10703-0036,高速計算與網路應用研究計畫(2/4),AI、雲端、巨量資料,AI、雲端、巨量資料,0.976,AI、雲端、巨量資料;產業人才培育;數位轉型與智慧政府;虛擬實境;晶片半導體,0.976;0.003;0.003;0.003;0.002
MP10301-0051,基因改造食品之前瞻性議題及強化風險分析能力科技計畫(2/4),食品安全與食品科技,食品安全與食品科技,0.969,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.969;0.005;0.004;0.003;0.003
MP1022-0222,提升原住民資訊素養四年計畫(3/4),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.987;0.002;0.001;0.001;0.001
MP10401-0234,食品科技發展綱要計畫(4/4),食品安全與食品科技,食品安全與食品科技,0.967,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.967;0.004;0.004;0.003;0.003
CP10602-0001,智慧型雲端防災監測預警技術研發(4/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.991;0.002;0.001;0.001;0.001
MP10704-0160,企業創新研發淬鍊及產學研價值創造綱要計畫(1/4),工研院與A+,工研院與A+,0.934,工研院與A+;產業人才培育;生技醫藥與精準醫療;科研設施;太空/衛星,0.934;0.01;0.009;0.007;0.006
CP10301-0058,中部科學工業園區業務推展(1/1),園區管理,園區管理,0.966,園區管理;產業人才培育;創新創業;災害防救;環境監測與污染防治,0.966;0.004;0.004;0.004;0.003
MP10902-0156,創新生技醫藥產業技術綱要計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
MP10802-0059,建立臺灣環境衛生病媒害蟲監測及防治技術計畫(4/4),防疫,防疫,0.977,防疫;災害防救;產業人才培育;資安;政策規劃與推動,0.977;0.002;0.002;0.002;0.002
MP10704-0233,新世代智慧防疫行動計畫(2/4),防疫,防疫,0.975,防疫;災害防救;產業人才培育;資安;政策規劃與推動,0.975;0.002;0.002;0.002;0.002
MP10501-0074,原子能系統工程跨域整合發展計畫(1/4),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.992;0.002;0.001;0.001;0.001
CP10401-0027,跨領域整合型研究計畫(1/1),科研計畫補助,科研計畫補助,0.966,科研計畫補助;人才補助與延攬;校園人才培育;科研設施;太空/衛星,0.966;0.005;0.003;0.003;0.003
MP1022-0230,工廠轉型升級暨技術躍升推動計畫(1/4),傳統產業高值化,傳統產業高值化,0.973,傳統產業高值化;運輸載具;化工材料與循環經濟;電商與物流;能源,0.973;0.007;0.004;0.003;0.003
MP10401-0279,環境奈米科技知識平台維運及知識管理計畫(2/3),環境監測與污染防治,環境監測與污染防治,0.976,環境監測與污染防治;氣候變遷與減碳;國家標準檢驗;長照與社會福利;專利與智財,0.976;0.004;0.003;0.002;0.002
MP1022-0106,健康資料加值應用雲端化服務計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;工研院與A+;產業人才培育;長照與社會福利;科研設施,0.992;0.001;0.001;0.001;0.001
MP10402-0074,文物高精密科學檢測技術研發應用暨實驗室建置計畫(4/4),文化,文化,0.975,文化;生技醫藥與精準醫療;政策規劃與推動;科研計畫補助;數位內容,0.975;0.003;0.002;0.002;0.002
MP10603-0016,科專政策研究及管理綱要計畫(4/4),政策規劃與推動,政策規劃與推動,0.984,政策規劃與推動;災害防救;中小（堅）企業輔導;創新創業;數位轉型與智慧政府,0.984;0.002;0.002;0.001;0.001
MP10801-0080,智慧服務  全民樂學-國立社教機構科技創新服務計畫(4/4),數位轉型與智慧政府,數位轉型與智慧政府,0.988,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.988;0.003;0.001;0.001;0.001
MP10212-0059,機械與運輸產業科技發展綱要計畫(1/4),傳統產業高值化;運輸載具,傳統產業高值化;運輸載具,0.957;0.948,傳統產業高值化;運輸載具;國防;化工材料與循環經濟;設計,0.957;0.948;0.021;0.011;0.011
MP10802-0057,綠色產品衡量指標擬訂與提升計畫（原計畫名稱：綠色採購躍升計畫）(2/4),氣候變遷與減碳,氣候變遷與減碳,0.983,氣候變遷與減碳;能源;化工材料與循環經濟;災害防救;食品安全與食品科技,0.983;0.003;0.002;0.002;0.002
MP10902-0263,優化經商環境與提升產業競爭力計畫(2/4),中小（堅）企業輔導,中小（堅）企業輔導,0.979,中小（堅）企業輔導;產業人才培育;數位轉型與智慧政府;創新創業;政策規劃與推動,0.979;0.004;0.002;0.002;0.002
MP10902-0122,身心障礙與高齡者智慧照護輔具檢測驗證推動計畫(4/4),國家標準檢驗;智慧醫療,國家標準檢驗;智慧醫療,0.958;0.912,國家標準檢驗;智慧醫療;能源;長照與社會福利;運輸載具,0.958;0.912;0.015;0.009;0.008
CP10604-0001,台灣光源(TLS)運轉維護計畫(1/1),科研設施,科研設施,0.974,科研設施;產業人才培育;資安;生技醫藥與精準醫療;中小（堅）企業輔導,0.974;0.003;0.003;0.003;0.002
MP10501-0236,智慧服務 全民樂學－國立社教機構科技創新服務計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.987;0.003;0.001;0.001;0.001
MP1022-0138,個人生物特徵識別資料蒐集管理及運用建置計畫(2/2),數位轉型與智慧政府,數位轉型與智慧政府,0.985,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;物聯網,0.985;0.002;0.001;0.001;0.001
MP10212-0311,管理顧問服務科技發展計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導,0.977,中小（堅）企業輔導;產業人才培育;創新創業;工研院與A+;政策規劃與推動,0.977;0.003;0.002;0.002;0.002
MP10704-0187,亞太生醫矽谷精準醫療旗艦計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP1022-0151,能源國家型科技計畫--能源科技產品標準檢測驗證計畫(2/4),能源;國家標準檢驗,能源;國家標準檢驗,0.97;0.958,能源;國家標準檢驗;智慧醫療;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳,0.97;0.958;0.009;0.006;0.005
MP10402-0036,工業基礎技術深耕計畫(1/4),智慧製造,智慧製造,0.968,智慧製造;產業人才培育;太空/衛星;網路通訊/4G/5G/5G+/6G;晶片半導體,0.968;0.006;0.003;0.002;0.002
MP10212-0260,ICT-enabled高附加價值新興產業關鍵技術發展綱要計畫(4/4),智慧醫療,智慧醫療,0.948,智慧醫療;國家標準檢驗;長照與社會福利;物聯網;運動科技,0.948;0.015;0.009;0.006;0.005
MP10602-0029,產業創新平台計畫(1/4),創新創業,創新創業,0.986,創新創業;政策規劃與推動;農業;物聯網;生技醫藥與精準醫療,0.986;0.002;0.002;0.001;0.001
MP1022-0212,核設施除役之輻射安全與人員生物劑量評估技術研究(2/4),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.992;0.002;0.001;0.001;0.001
MP10501-0030,106年度「再生能源開發與推廣計畫」(1/1),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.992;0.002;0.001;0.001;0.001
MP10603-0026,推動數位經濟發展之通訊傳播匯流政策及法制革新計畫（第二年）(2/4),政策規劃與推動,政策規劃與推動,0.984,政策規劃與推動;中小（堅）企業輔導;災害防救;數位轉型與智慧政府;創新創業,0.984;0.002;0.002;0.001;0.001
CP10402-0004,國家資通安全防護整合服務計畫第二期計畫(1/1),資安,資安,0.956,資安;網路通訊/4G/5G/5G+/6G;產業人才培育;警政與法務;科研設施,0.956;0.008;0.007;0.004;0.004
MP10603-0044,臺灣重要農作物核心種原基因體資源開發及快速育種平臺之建置(2/4),農業生技,農業生技,0.931,農業生技;農業;文化;環境監測與污染防治;防疫,0.931;0.008;0.007;0.007;0.006
MP10301-0035,生技蛋白藥開發四年計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;文化,0.992;0.001;0.001;0.001;0.001
MP10212-0038,推動新住民資訊素養教育計畫(3/3),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.987;0.002;0.001;0.001;0.001
CP10401-0028,研發成果推廣及科學園區業務推動計畫(1/1),創新創業,創新創業,0.986,創新創業;農業;政策規劃與推動;物聯網;生技醫藥與精準醫療,0.986;0.002;0.002;0.001;0.001
CP10401-0041,台灣光子源之高影響性光束線及實驗站設施興建計畫(2/4),科研設施,科研設施,0.974,科研設施;產業人才培育;資安;生技醫藥與精準醫療;中小（堅）企業輔導,0.974;0.003;0.003;0.002;0.002
CP10801-0025,智慧製造關鍵技術之創新科技研發與應用計畫(4/4),智慧製造,智慧製造,0.972,智慧製造;產業人才培育;太空/衛星;網路通訊/4G/5G/5G+/6G;數位轉型與智慧政府,0.972;0.006;0.003;0.003;0.002
MP10501-0075,標竿新產品創新研發輔導計畫(4/4),創新創業,創新創業,0.986,創新創業;農業;政策規劃與推動;物聯網;生技醫藥與精準醫療,0.986;0.002;0.002;0.002;0.001
MP10902-0084,臺灣經典電影數位修復及加值利用計畫(2/4),數位內容,數位內容,0.971,數位內容;網路通訊/4G/5G/5G+/6G;傳統產業高值化;水資源管理;產業人才培育,0.971;0.002;0.002;0.002;0.002
MP1021-0080,社會發展政策研究計畫(1/1),政策規劃與推動,政策規劃與推動,0.985,政策規劃與推動;災害防救;中小（堅）企業輔導;創新創業;數位轉型與智慧政府,0.985;0.002;0.002;0.001;0.001
MP10902-0041,科技專案環境建構綱要計畫(4/4),工研院與A+,工研院與A+,0.935,工研院與A+;產業人才培育;生技醫藥與精準醫療;智慧製造;太空/衛星,0.935;0.009;0.009;0.007;0.006
CP10603-0006,具時效性科技政策及科技策略會議結論推動落實計畫(1/1),政策規劃與推動,政策規劃與推動,0.985,政策規劃與推動;中小（堅）企業輔導;災害防救;數位轉型與智慧政府;創新創業,0.985;0.002;0.002;0.001;0.001
MP10401-0033,電漿在綠色節能環境之開發與應用(4/4),能源,能源,0.991,能源;國家標準檢驗;產業人才培育;氣候變遷與減碳;農業,0.991;0.002;0.001;0.001;0.001
MP10802-0011,傳統產業數位創新加值計畫(3/4),數位轉型與智慧政府,數位轉型與智慧政府,0.987,數位轉型與智慧政府;產業人才培育;電商與物流;中小（堅）企業輔導;生技醫藥與精準醫療,0.987;0.002;0.001;0.001;0.001
MP10212-0185,產業結構優化躍升計畫(2/4),中小（堅）企業輔導,中小（堅）企業輔導,0.979,中小（堅）企業輔導;產業人才培育;創新創業;數位轉型與智慧政府;工研院與A+,0.979;0.004;0.002;0.002;0.002
MP10503-0011,加速行動寬頻服務及產業發展計畫(1/2)-建置新世代電波監測系統,網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G,0.984,網路通訊/4G/5G/5G+/6G;長照與社會福利;災害防救;國家標準檢驗;產業人才培育,0.984;0.002;0.002;0.002;0.001
MP10801-0074,因應食安五環建構校園午餐之農安監控及供應體系-健全科技支援體系(4/4),食品安全與食品科技,食品安全與食品科技,0.968,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.968;0.004;0.004;0.003;0.003
CP10501-0037,奈米元件研究與技術人才培育計畫(2/4),晶片半導體,晶片半導體,0.975,晶片半導體;AI、雲端、巨量資料;能源;智慧製造;產業人才培育,0.975;0.003;0.003;0.002;0.002
MP10602-0014,健康雲2.0(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10902-0236,功率電子關鍵技術提升與通訊/綠能產業整合應用開發(3/4),晶片半導體,晶片半導體,0.975,晶片半導體;能源;AI、雲端、巨量資料;產業人才培育;智慧製造,0.975;0.003;0.003;0.002;0.002
MP10501-0226,建構油料作物產業加值鏈計畫(3/4),農業,農業,0.975,農業;電商與物流;能源;農業生技;創新創業,0.975;0.004;0.003;0.003;0.003
MP10602-0260,材料與化工產業整合發展計畫(2/4),化工材料與循環經濟,化工材料與循環經濟,0.974,化工材料與循環經濟;氣候變遷與減碳;水資源管理;農業;傳統產業高值化,0.974;0.003;0.003;0.002;0.002
MP1022-0144,基因改造食品之前瞻性議題及強化風險分析能力科技計畫(1/4),食品安全與食品科技,食品安全與食品科技,0.968,食品安全與食品科技;氣候變遷與減碳;農業;生技醫藥與精準醫療;化工材料與循環經濟,0.968;0.004;0.004;0.003;0.003
MP10902-0016,產業人才海外網絡鏈結暨延攬計畫(1/4),人才補助與延攬,人才補助與延攬,0.969,人才補助與延攬;數位轉型與智慧政府;科研計畫補助;食品安全與食品科技;政策規劃與推動,0.969;0.004;0.004;0.004;0.004
MP10802-0218,109年度5家無線電視臺數位頻道及公視HiHD頻道衛星上鏈計畫(1/1),文化,文化,0.974,文化;生技醫藥與精準醫療;數位內容;政策規劃與推動;科研計畫補助,0.974;0.003;0.003;0.002;0.002
MP10501-0340,E化領域科技發展綱要計畫書(1/4)-強化農業數位多元服務,智慧農業,智慧農業,0.949,智慧農業;電商與物流;農業;政策規劃與推動;防疫,0.949;0.012;0.006;0.006;0.006
MP10902-0043,110年度「業界能源科技研究發展計畫」(1/1),能源,能源,0.992,能源;國家標準檢驗;產業人才培育;農業;氣候變遷與減碳,0.992;0.002;0.001;0.001;0.001
MP10212-0246,都會區防洪科技(3/4),災害防救,災害防救,0.992,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;物聯網;政策規劃與推動,0.992;0.002;0.001;0.001;0.001
MP1024-0018,國家生技研究園區開發計畫(1/3),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;產業人才培育;長照與社會福利;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
MP10704-0247,新媒體跨平台內容產製計畫(2/3),數位內容,數位內容,0.972,數位內容;網路通訊/4G/5G/5G+/6G;傳統產業高值化;文化;水資源管理,0.972;0.003;0.002;0.002;0.002
MP10501-0389,文化科技輔導推動專案計畫(1/4),文化,文化,0.974,文化;生技醫藥與精準醫療;政策規劃與推動;科研計畫補助;數位內容,0.974;0.003;0.002;0.002;0.002
CP10902-0009,臨床資料庫與AI之跨域開發及加值應用(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療,0.992,生技醫藥與精準醫療;長照與社會福利;產業人才培育;工研院與A+;科研設施,0.992;0.001;0.001;0.001;0.001
CP10601-0044,颱風洪水研究發展計畫(4/4),災害防救,災害防救,0.991,災害防救;網路通訊/4G/5G/5G+/6G;氣候變遷與減碳;政策規劃與推動;物聯網,0.991;0.002;0.001;0.001;0.001
